deviceid,start,end,today,n1,ts_datetime,network,ts_id,ts_airtemp,ts_frc1,ts_tc1,ts_frc2,ts_tc2,ts_ntu,ts_wattemp,ts_cond,ts_ph,ts_consent,n2,ts_cont,ts_cov,ts_clean,ts_cc,n3,n4,hh_cc,n5,hh_consent,n6,hh_datetime,hh_cont,hh_cont2,hh_clean,hh_same,n7,hh_draw,hh_draw/P,hh_draw/S,hh_draw/T,hh_draw/Oth,hh_cov,hh_sun,n8,hh_airtemp,hh_frc1,hh_tc1,hh_frc2,hh_tc2,hh_ntu,hh_wattemp,hh_cond,hh_ph,n9,_id,_uuid,_submission_time,_validation_status,_index
3.52514E+14,2019-08-08T08:46:41.470+06,2019-08-08T14:31:17.846+06,2019-08-08,,2019-08-08T08:46:00.000+06,net_09,12,26.6,0.02,0.06,,,0.58,27.2,,,1,,MJ,0,1,2,,,2,,1,,2019-08-08T14:19:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.4,0.01,0.05,,,1.64,28.5,,,,340951,f9ae525e-ebe7-4405-b79b-f2951c1c6d41,2019-08-08T10:50:08,,174
3.52514E+14,2019-08-08T08:59:56.585+06,2019-08-08T14:40:20.361+06,2019-08-08,,2019-08-08T09:00:00.000+06,net_09,19,26.7,0.07,0.09,,,0.71,27.3,,,1,,MJ,0,1,5,,,5,,1,,2019-08-08T14:32:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.4,0.08,0.1,,,1.15,28.1,,,,340952,4ba8f041-e6c0-4098-a75f-fb9e1d7cf200,2019-08-08T10:50:12,,175
3.52514E+14,2019-08-08T09:13:04.553+06,2019-08-08T14:50:12.291+06,2019-08-08,,2019-08-08T09:13:00.000+06,net_09,10,27.9,0.05,0.1,,,0.78,27.8,,,1,,PB,1,1,6,,,6,,1,,2019-08-08T14:41:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.5,0.09,0.17,,,1.26,28.4,,,,340953,a82e6750-4426-48f7-aafd-ddf650fcb5e6,2019-08-08T10:50:14,,176
3.52514E+14,2019-08-08T09:23:13.248+06,2019-08-08T15:00:21.948+06,2019-08-08,,2019-08-08T09:23:00.000+06,net_09,8,27.8,0.13,0.16,,,0.71,27.6,,,1,,MJ,,1,7,,,7,,1,,2019-08-08T14:52:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.3,0.11,0.12,,,0.56,28.7,,,,340954,3d935ef5-4ba9-449d-b7e1-072c633f372e,2019-08-08T10:50:18,,177
3.52514E+14,2019-08-08T09:33:17.402+06,2019-08-08T15:14:47.897+06,2019-08-08,,2019-08-08T09:33:00.000+06,net_09,9,28.2,0.14,0.21,,,0.85,27.8,,,1,,MJ,0,1,8,,,8,,1,,2019-08-08T15:02:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.9,0.03,0.07,,,0.9,28.3,,,,340955,c9a1bf6b-90f1-4997-a025-c56bd3fbdcf7,2019-08-08T10:50:25,,178
3.52514E+14,2019-08-05T07:44:29.011+06,2019-08-13T14:54:55.157+06,2019-08-05,,2019-08-13T08:42:00.000+06,net_10,2,29.1,0.52,0.48,,,0.99,28.1,306,,1,,MJ,0,1,1,,,1,,1,,2019-08-13T14:48:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.3,0.29,0.3,,,1.53,28.1,368,,,342874,916206c7-c457-49ef-b055-6fa52a36d6cd,2019-08-14T09:57:20,,179
3.52514E+14,2019-08-13T09:17:57.993+06,2019-08-13T15:05:28.622+06,2019-08-13,,2019-08-13T09:18:00.000+06,net_10,3,28.6,0.48,0.49,,,0.26,28,308,,1,,MJ,0,1,2,,,3,,1,,2019-08-13T15:00:00.000+06,1,,,,,P,1,0,0,0,0,0,,28.3,0.22,0.29,,,1.34,27.7,371,,,342876,0144379f-8ff3-461d-9993-62064f013208,2019-08-14T09:58:09,,180
3.52514E+14,2019-08-13T09:38:23.375+06,2019-08-13T15:22:16.241+06,2019-08-13,,2019-08-13T09:38:00.000+06,net_10,11,28.1,0.23,0.24,,,0.3,27.3,410,,1,,MJ,0,1,3,,,3,,1,,2019-08-13T15:16:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.1,0.21,0.24,,,1.09,28,358,,,342879,d4470b4e-764d-4007-89f3-49ff4ab8a2a0,2019-08-14T09:58:23,,181
3.52514E+14,2019-08-13T09:58:42.649+06,2019-08-13T15:40:20.467+06,2019-08-13,,2019-08-13T10:00:00.000+06,net_10,4,27.3,0.57,0.58,,,0.76,28.2,382,,1,,PB,1,1,4,,,4,,1,,2019-08-13T15:27:00.000+06,1,,,1,,S,0,1,0,0,1,0,,28.1,0.14,0.17,,,1.42,28.1,359,,,342880,ef285b6b-b8db-4d17-9bcd-abe3122bca32,2019-08-14T09:58:35,,182
3.52514E+14,2019-08-13T10:12:57.800+06,2019-08-13T15:45:49.187+06,2019-08-13,,2019-08-13T10:13:00.000+06,net_10,6,29.3,0.52,0.55,,,0.24,26.8,350,,1,,MJ,0,1,5,,,5,,1,,2019-08-13T15:42:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.5,0.02,0.03,,,3.09,27.5,282,,,342883,3d5cd85a-8af3-4abb-808c-abf774f41a66,2019-08-14T09:59:14,,183
3.52514E+14,2019-08-10T15:53:28.197+06,2019-08-11T08:15:13.686+06,2019-08-10,,2019-08-10T15:53:00.000+06,net_09,18,30.3,0.36,0.37,,,1.56,28.4,,,1,,MJ,0,1,1,,,1,,1,,2019-08-11T08:07:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.6,0.03,0.08,,,0.55,28,,,,342886,eacc4ab5-3248-49d0-8183-3d8656403f93,2019-08-14T10:00:42,,184
3.52514E+14,2019-08-14T08:32:20.949+06,2019-08-14T14:48:53.780+06,2019-08-14,,2019-08-14T08:32:00.000+06,net_10,19,28.4,0.66,0.75,,,1.05,26.8,342,,1,,MJ,0,0,2,,,2,,1,,2019-08-14T14:42:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.7,0.27,0.31,,,0.38,27.7,334,,,342888,2dcc0559-4774-4b03-9924-955b6df748b0,2019-08-14T10:01:01,,185
3.52514E+14,2019-08-10T16:09:14.395+06,2019-08-11T08:25:05.681+06,2019-08-10,,2019-08-10T16:09:00.000+06,net_09,11,29.4,0.32,0.37,,,0.85,28.1,,,1,,MJ,0,1,2,,,2,,1,,2019-08-11T08:17:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.4,0.06,0.11,,,0.66,28.1,,,,342890,b6652943-10dc-4588-84b7-669e28707a5d,2019-08-14T10:01:04,,186
3.52514E+14,2019-08-10T15:03:07.292+06,2019-08-11T07:17:14.961+06,2019-08-10,,2019-08-10T15:03:00.000+06,net_01,9,30.7,0.83,0.85,,,0.38,28.3,311,7.79,1,,MJ,0,1,1,,,1,,1,,2019-08-11T07:13:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.7,0.27,0.29,,,0.28,28,310,7.82,,342891,82c8a366-9f82-4216-a7e5-e93cc6fc7e6b,2019-08-14T10:01:21,,187
3.52514E+14,2019-08-10T16:18:17.881+06,2019-08-11T08:35:28.711+06,2019-08-10,,2019-08-10T16:18:00.000+06,net_09,16,29.5,0.29,0.3,,,1.36,28.1,,,1,,PB,1,1,5,,,5,,1,,2019-08-11T08:27:00.000+06,1,,,1,,P,1,0,0,0,1,0,,29,0.05,0.08,,,0.68,28.4,,,,342892,ca858c40-386a-483e-81ff-a0678fd6be2b,2019-08-14T10:01:29,,188
3.52514E+14,2019-08-14T08:43:39.707+06,2019-08-14T15:04:48.846+06,2019-08-14,,2019-08-14T08:43:00.000+06,net_10,7,28.1,0.67,0.68,,,0.31,26.8,326,,1,,MJ,0,1,3,,,3,,1,,2019-08-14T15:01:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.6,0.37,0.33,,,0.54,28.3,328,,,342893,ed3d9bb8-5b88-4d24-bbdc-fecab8bb63c8,2019-08-14T10:01:33,,189
3.52514E+14,2019-08-10T15:12:00.664+06,2019-08-11T07:25:56.999+06,2019-08-10,,2019-08-10T15:12:00.000+06,net_01,8,30.6,0.72,0.75,,,0.43,28.3,306,7.82,1,,PB,1,1,2,,,2,,1,,2019-08-11T07:22:00.000+06,1,,,1,,S,0,1,0,0,1,0,,28.2,0.2,0.23,,,0.26,28.5,304,7.9,,342894,bf3f0f26-9054-4366-b4dd-d37013c9868b,2019-08-14T10:01:34,,190
3.52514E+14,2019-08-14T08:53:07.703+06,2019-08-14T15:18:01.160+06,2019-08-14,,2019-08-14T08:53:00.000+06,net_10,9,29.3,0.64,0.65,,,0.38,27.8,338,,1,,MJ,0,1,4,,,4,,1,,2019-08-14T15:13:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.3,0.33,0.34,,,0.12,28.1,325,,,342895,6a63e793-c7d2-4c3e-a7cd-505ee3da4040,2019-08-14T10:01:42,,191
3.52514E+14,2019-08-10T16:29:15.765+06,2019-08-11T08:44:11.229+06,2019-08-10,,2019-08-10T16:29:00.000+06,net_09,6,28.7,0.21,0.25,,,1.58,28,,,1,,MJ,0,1,6,,,6,,1,,2019-08-11T08:37:00.000+06,1,,,1,,P,1,0,0,0,0,0,,27.8,0.08,0.12,,,0.76,28,,,,342896,c4ca0c02-76ef-42e5-978d-eae86eb066bb,2019-08-14T10:01:43,,192
3.52514E+14,2019-08-10T15:22:57.458+06,2019-08-11T07:34:04.527+06,2019-08-10,,2019-08-10T15:23:00.000+06,net_01,7,31.5,0.79,0.81,,,0.81,28.43,305,7.71,1,,MJ,0,1,3,,,3,,1,,2019-08-11T07:29:00.000+06,1,,,1,,P,1,0,0,0,0,0,,28.9,0.13,0.15,,,0.31,28.3,304,7.88,,342897,53fb881a-613e-4f29-9da8-36b1b59e1b4d,2019-08-14T10:01:55,,193
3.52514E+14,2019-08-10T16:40:06.294+06,2019-08-11T08:55:09.749+06,2019-08-10,,2019-08-10T16:40:00.000+06,net_09,7,28.8,0.26,0.28,,,0.56,27.9,,,1,,PB,0,1,7,,,7,,1,,2019-08-11T08:45:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.6,0.03,0.05,,,0.76,28.6,,,,342898,3056af4d-7d1f-43d3-a97f-b381a54f9191,2019-08-14T10:01:58,,194
3.52514E+14,2019-08-14T09:07:25.972+06,2019-08-14T15:33:19.309+06,2019-08-14,,2019-08-14T09:07:00.000+06,net_10,8,30.3,0.64,0.67,,,0.22,27.5,330,,1,,PB,1,1,5,,,5,,1,,2019-08-14T15:25:00.000+06,1,,,1,,S,0,1,0,0,1,0,,29.3,0.45,0.49,,,0.16,28,322,,,342899,2c00ed1f-8f29-4336-89f4-788648b70c7e,2019-08-14T10:02:00,,195
3.52514E+14,2019-08-10T15:32:51.794+06,2019-08-11T07:45:50.055+06,2019-08-10,,2019-08-10T15:32:00.000+06,net_01,4,31.5,0.63,0.68,,,0.73,28.1,302,7.66,1,,MJ,0,1,4,,,4,,1,,2019-08-11T07:40:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.6,0.18,0.21,,,0.57,28.2,306,7.75,,342900,8a298a18-bda2-4562-bf28-d17ccdce0793,2019-08-14T10:02:01,,196
3.52514E+14,2019-08-10T15:47:00.798+06,2019-08-11T07:56:42.304+06,2019-08-10,,2019-08-10T15:47:00.000+06,net_01,5,29.3,0.37,0.45,,,0.41,28.1,304,7.81,1,,MJ,0,1,5,,,5,,1,,2019-08-11T07:52:00.000+06,1,,,1,,P,1,0,0,0,0,0,,29.2,0.22,0.26,,,0.19,20.5,306,7.72,,342903,e680f0fc-5379-4335-b3b5-cd98a58d1ec9,2019-08-14T10:02:49,,197
3.52514E+14,2019-08-10T08:52:17.075+06,2019-08-13T14:55:47.613+06,2019-08-10,,2019-08-10T08:52:00.000+06,net_06,1,28,0.28,0.33,,,0.2,28,489,8.12,1,,MJ,0,0,1,,,1,,1,,2019-08-10T15:39:00.000+06,0,SJC,1,1,,P,1,0,0,0,1,0,,28.7,0.01,0.09,,,0.01,29.2,483,8.14,,342908,9cb54864-0339-4f73-835e-5fe15ccd9398,2019-08-14T10:03:35,,198
3.52514E+14,2019-08-14T08:17:57.315+06,2019-08-14T14:38:27.160+06,2019-08-14,,2019-08-14T08:18:00.000+06,net_10,5,27.1,0.75,0.6,,,1.1,27.2,363,,1,,MJ,0,1,1,,,1,,1,,2019-08-14T14:38:00.000+06,1,,,0,,,,,,,,,,,,,,,,,,,,342910,b23d2951-d269-4ae1-80b2-305535a54854,2019-08-14T10:03:49,,199
3.52514E+14,2019-08-10T08:59:48.215+06,2019-08-10T15:50:10.789+06,2019-08-10,,2019-08-10T08:59:00.000+06,net_06,2,27.8,0.38,0.37,,,0.49,28,473,8.07,1,,MJ,0,0,2,,,2,,1,,2019-08-10T15:45:00.000+06,0,MJ,1,1,,P,1,0,0,0,1,1,,29.2,0.02,0.1,,,0.01,29.1,478,8.15,,342913,5f189e21-89a9-4150-9876-2ec1b37afc42,2019-08-14T10:03:52,,200
