ts_datetime,ts_frc,hh_datetime,hh_frc,ts_cond,ts_wattemp
2019-08-21T08:58:00.000+06,0.78,2019-08-21T14:50:00.000+06,0.54,,27.7
2019-08-17T08:34:00.000+06,0.78,2019-08-17T14:49:00.000+06,0.52,312,27.8
2019-08-19T16:24:00.000+06,1,2019-08-20T08:21:00.000+06,0.06,293,28.4
2019-08-21T09:14:00.000+06,0.76,2019-08-21T15:01:00.000+06,0.65,,27.9
2019-08-18T15:15:00.000+06,1.1000000000000001,2019-08-19T07:28:00.000+06,0.45,532,28.5
2019-08-17T08:42:00.000+06,0.86,2019-08-17T14:58:00.000+06,0.18,315,27.7
2019-08-19T16:33:00.000+06,1.04,2019-08-20T08:31:00.000+06,0.42,293,28.2
2019-08-18T15:28:00.000+06,0.85,2019-08-19T07:43:00.000+06,0.45,367,27.9
2019-08-17T08:54:00.000+06,0.96,2019-08-17T14:38:00.000+06,0.61,313,27.5
2019-08-19T16:47:00.000+06,0.92,2019-08-20T07:45:00.000+06,0.77,292,28.6
2019-08-18T15:36:00.000+06,0.89,2019-08-19T08:07:00.000+06,0.14000000000000001,523,28.4
2019-08-20T16:24:00.000+06,0.85,2019-08-21T08:10:00.000+06,0.16,299,28.6
2019-08-18T08:09:00.000+06,0.84,2019-08-18T15:15:00.000+06,0.72,309,26.8
2019-08-20T16:31:00.000+06,1.01,2019-08-21T08:20:00.000+06,0.37,293,28.8
2019-08-18T08:20:00.000+06,0.81,2019-08-18T14:46:00.000+06,0.52,307,27
2019-08-18T16:00:00.000+06,0.88,2019-08-19T08:20:00.000+06,0.35,498,28.2
2019-08-20T16:39:00.000+06,0.94,2019-08-21T08:27:00.000+06,0.35,292,28.1
2019-08-18T08:29:00.000+06,0.71,2019-08-18T14:34:00.000+06,0.28000000000000003,311,27.2
2019-08-15T09:08:00.000+06,0.05,2019-08-15T15:01:00.000+06,0.03,,28.2
2019-08-19T15:11:00.000+06,0.24,2019-08-20T07:16:00.000+06,0.08,368,27.4
2019-08-20T16:50:00.000+06,0.93,2019-08-21T08:40:00.000+06,0.39,291,28.4
2019-08-18T08:42:00.000+06,0.61,2019-08-18T14:24:00.000+06,0.41,310,27.2
2019-08-15T09:21:00.000+06,0.12,2019-08-15T14:46:00.000+06,0.08,,28.2
2019-08-19T15:23:00.000+06,0.26,2019-08-20T07:27:00.000+06,0.11,389,27.5
2019-08-19T08:05:00.000+06,0.67,2019-08-19T15:15:00.000+06,0.23,311,27.3
2019-08-20T17:05:00.000+06,1.05,2019-08-21T08:48:00.000+06,0.61,292,28.2
2019-08-15T09:34:00.000+06,0.11,2019-08-15T15:25:00.000+06,0.05,,28.9
2019-08-19T15:37:00.000+06,0.33,2019-08-20T07:37:00.000+06,0.15,391,27.9
2019-08-19T08:14:00.000+06,0.76,2019-08-19T15:28:00.000+06,0.49,312,27.3
2019-08-15T09:44:00.000+06,0.13,2019-08-15T15:34:00.000+06,0.06,,28.4
2019-08-19T15:51:00.000+06,0.34,2019-08-20T07:49:00.000+06,0.09,379,27.6
2019-08-19T08:27:00.000+06,0.92,2019-08-19T15:03:00.000+06,0.57999999999999996,314,27.8
2019-08-20T08:25:00.000+06,0.66,2019-08-20T15:11:00.000+06,0.48,312,28.1
2019-08-20T08:38:00.000+06,0.68,2019-08-20T15:25:00.000+06,0.73,311,27.8
2019-08-21T08:01:00.000+06,1.01,2019-08-21T14:13:00.000+06,0.55000000000000004,310,28.4
2019-08-21T08:14:00.000+06,1.66,2019-08-21T14:24:00.000+06,0.34,312,28.5
2019-08-21T08:24:00.000+06,1.41,2019-08-21T14:38:00.000+06,1.1100000000000001,310,28.3
2019-08-21T08:33:00.000+06,1.37,2019-08-21T14:59:00.000+06,0.45,312,29.3
2019-08-17T08:31:00.000+06,0.32,2019-08-17T14:50:00.000+06,0.09,,27.7
2019-08-20T15:37:00.000+06,0.24,2019-08-21T07:34:00.000+06,0.18,,27.9
2019-08-17T08:41:00.000+06,0.31,2019-08-17T15:08:00.000+06,0.08,,27.7
2019-08-20T15:54:00.000+06,0.28999999999999998,2019-08-21T07:41:00.000+06,0.11,,27.6
2019-08-17T08:52:00.000+06,0.47,2019-08-17T15:00:00.000+06,7.0000000000000007E-2,,27.9
2019-08-20T16:06:00.000+06,0.32,2019-08-21T07:51:00.000+06,0.2,,27.7
2019-08-17T09:02:00.000+06,0.38,2019-08-17T15:22:00.000+06,0.09,,27.6
2019-08-20T16:15:00.000+06,0.35,2019-08-21T07:58:00.000+06,0.21,,27.4
2019-07-27T08:43:00.000+06,0.96,2019-08-15T15:06:00.000+06,0.51,30,28.6
2019-08-20T16:28:00.000+06,0.36,2019-08-21T08:10:00.000+06,0.24,,28.1
2019-08-15T08:22:00.000+06,0.75,2019-08-15T15:45:00.000+06,0.36,307,28.1
